network,station,latitude,longitude,elevation
NP,5442,34.04905,-116.94032,1533
NP,5444,33.63461,-116.09534,-10
NP,5480,34.70312,-118.42573,942
NP,5481,34.5993,-118.45375,918
NP,5491,32.82288,-116.52931,1129
NP,5492,34.20011,-118.36044,223
NP,5494,32.95861,-116.57937,1486
NP,5499,33.94046,-118.42066,30
PB,B079,35.7157,-120.2057,436
PB,B081,33.71117,-116.71417,1467
PB,B082,33.59818,-116.59601,1374
PB,B084,33.61157,-116.45637,1271
PB,B086,33.5575,-116.531,1392
PB,B087,33.4955,-116.60267,1139
PB,B093,33.59369,-116.7641,1229
PB,B900,35.686,-120.003,219
PB,B901,35.6897,-120.142,275
PB,B916,36.1925,-117.6685,1859
PB,B917,35.4053,-117.2588,1192
PB,B918,35.9357,-117.6017,1042
PB,B921,35.5865,-117.4622,694
PG,BLD,35.53383,-120.90667,457
PG,DCD,35.21217,-120.84084,238
PG,DPD,35.233,-120.78167,488
PG,EFD,35.3205,-120.725,95
PG,MLD,35.3225,-120.6025,762
PG,NPD,35.08633,-120.4725,452
PG,PBD,35.709,-121.2715,183
PG,PSD,34.90217,-120.62167,378
PG,VPD,35.2399,-120.869,435
SB,BVDA,33.32673,-116.36714,232
SB,CPSLO,35.30211,-120.66716,88
SB,GVDA,33.6689,-116.6738,1341
SB,WLA,33.0976,-115.5306,-61
SN,AMD,36.4526,-116.2818,775
SN,HEL,36.7246,-116.9759,747
SN,LEC,36.5627,-116.6905,1113
SN,PUV,36.9494,-115.9642,1253
SN,SGR,36.9804,-117.0336,1560
SN,TIM,37.0667,-116.4703,1871
SN,TPW,36.9016,-116.2528,1573
SN,TWP,37.2047,-116.1243,1576
SN,TYM,37.144,-116.7217,1457
WR,CSP,34.29796,-117.35833,1239
WR,FRI,36.992,-119.708,119
WR,PEC,33.89198,-117.16135,582
NO,B201,34.18272,-117.2885,485
NO,B202,34.18023,-117.2888,455
NO,B203,34.17831,-117.28899,445
NO,B204,34.17669,-117.28895,433
NO,B205,34.17438,-117.28888,424
NO,B206,34.17211,-117.28887,413
NO,B207,34.17009,-117.28992,405
NO,B208,34.16797,-117.28885,401
NO,B209,34.16534,-117.28876,401
NO,B210,34.16322,-117.28934,398
NO,B211,34.16059,-117.28883,394
NO,B212,34.15883,-117.28967,414
NO,B213,34.15689,-117.28945,391
NO,B214,34.15444,-117.28937,387
NO,B215,34.15205,-117.28934,383
NO,B216,34.15036,-117.2895,381
NO,B217,34.14807,-117.28939,379
NO,B218,34.14613,-117.28992,376
NO,B219,34.14383,-117.28976,367
NO,B220,34.14165,-117.28988,370
NO,B221,34.1389,-117.28979,366
NO,B222,34.13692,-117.28984,362
NO,B223,34.13413,-117.28977,357
NO,B224,34.13219,-117.28976,352
NO,B225,34.12998,-117.28979,352
NO,B226,34.1282,-117.28983,348
NO,B227,34.1256,-117.2899,343
NO,B229,34.12177,-117.28985,336
NO,B230,34.11944,-117.28987,334
NO,B231,34.11733,-117.28989,330
NO,B232,34.11464,-117.28989,328
NO,B233,34.11227,-117.29019,326
NO,B234,34.11063,-117.29035,325
NO,B235,34.1076,-117.28981,321
NO,B236,34.10583,-117.28983,318
NO,B237,34.10444,-117.29048,318
NO,B239,34.09935,-117.28989,309
NO,B240,34.09786,-117.29072,307
NO,B241,34.09521,-117.29091,306
NO,B242,34.09372,-117.28951,306
NO,B243,34.09173,-117.2898,304
NO,B245,34.08614,-117.28928,302
NO,B246,34.08406,-117.29235,302
NO,B247,34.0819,-117.29027,302
NO,B249,34.07764,-117.29138,301
NO,B250,34.07537,-117.29138,300
NO,B251,34.07424,-117.29145,300
NO,B252,34.07092,-117.29148,300
NO,B254,34.06679,-117.29104,300
NO,B255,34.06448,-117.29151,300
NO,B256,34.0627,-117.29064,302
NO,B257,34.06029,-117.29123,299
NO,B258,34.05909,-117.2918,299
NO,B259,34.05558,-117.2907,305
NO,B260,34.0534,-117.29186,308
NO,B261,34.05058,-117.28993,314
NO,B301,34.16496,-117.52316,625
NO,B302,34.16265,-117.52318,607
NO,B303,34.16014,-117.52349,588
NO,B304,34.15839,-117.52345,573
NO,B305,34.15571,-117.52348,553
NO,B306,34.15407,-117.52357,541
NO,B307,34.15152,-117.5238,523
NO,B308,34.14862,-117.52375,504
NO,B309,34.14653,-117.5237,491
NO,B310,34.1438,-117.5252,474
NO,B311,34.14154,-117.5234,462
NO,B312,34.1396,-117.52375,454
NO,B313,34.13774,-117.52323,447
NO,B314,34.13504,-117.52371,435
NO,B315,34.13316,-117.52364,430
NO,B316,34.13047,-117.52322,422
NO,B317,34.12796,-117.52373,415
NO,B318,34.126212,-117.52375,412
NO,B319,34.12449,-117.5239,406
NO,B320,34.12214,-117.52378,400
NO,B321,34.11916,-117.52326,394
NO,B322,34.11779,-117.5239,392
NO,B323,34.11493,-117.52345,386
NO,B324,34.11284,-117.52338,382
NO,B325,34.11071,-117.52354,378
NO,B326,34.10782,-117.52355,372
NO,B327,34.10529,-117.52351,365
NO,B328,34.10373,-117.52293,362
NO,B329,34.1017,-117.52393,358
NO,B330,34.09883,-117.52261,354
NO,B331,34.09731,-117.52367,351
NO,B332,34.09437,-117.52369,347
NO,B333,34.09225,-117.52367,343
NO,B334,34.09043,-117.52399,339
NO,B335,34.0878,-117.52415,335
NO,B336,34.08571,-117.52409,333
NO,B337,34.08342,-117.52413,330
NO,B338,34.08046,-117.5243,325
NO,B339,34.0775,-117.5248,319
NO,B340,34.07653,-117.5242,318
